idx,time,x,y,yaw,mode,speed
313,1772512297.402272,388.156647,54.546925,2.474363,LC,7.785700
314,1772512297.502256,387.569183,55.030518,2.474011,LC,7.783688
315,1772512297.622232,386.895020,55.587204,2.473890,LC,7.781188
316,1772512297.642258,386.330688,56.052971,2.478097,LC,7.780577
317,1772512297.762341,385.747101,56.529922,2.483265,LC,7.777812
318,1772512297.882262,385.077271,57.069939,2.490089,LC,7.773829
319,1772512297.982274,384.489136,57.537048,2.496749,LC,7.770149
320,1772512298.102268,383.838287,58.046158,2.504217,LC,7.766492
321,1772512298.222257,383.147980,58.577682,2.512337,LC,7.759439
322,1772512298.322231,382.698547,58.918972,2.517787,LC,7.756045
323,1772512298.362287,381.997955,59.443325,2.526241,LC,7.749106
324,1772512298.462218,381.381348,59.897148,2.533910,LC,7.743533
325,1772512298.582283,380.780457,60.332355,2.541472,LC,7.739507
326,1772512298.702264,380.160309,60.774246,2.549182,LC,7.736893
327,1772512298.822292,379.469086,61.258362,2.557612,LC,7.733392
328,1772512298.922340,378.964539,61.606339,2.563680,LK,7.733897
329,1772512299.022268,378.244507,62.095226,2.572093,LK,7.736288
330,1772512299.062272,377.774963,62.409348,2.577499,LK,7.734740
331,1772512299.182264,377.131622,62.834026,2.584627,LK,7.737413
332,1772512299.262215,376.493652,63.248856,2.591118,LK,7.743334
333,1772512299.422258,375.843140,63.665855,2.597545,LK,7.744308
334,1772512299.502261,375.114441,64.126274,2.604676,LK,7.738829
335,1772512299.562251,374.464325,64.531013,2.610584,LK,7.739858
336,1772512299.702206,373.822327,64.925423,2.616029,LK,7.740345
337,1772512299.802253,373.114624,65.354881,2.621339,LK,7.734121
338,1772512299.922234,372.368835,65.802208,2.626773,LK,7.727432
339,1772512300.022236,371.876343,66.094643,2.629733,LK,7.724131
340,1772512300.042231,371.235474,66.472382,2.633156,LK,7.722274
341,1772512300.162216,370.471252,66.919334,2.636568,LK,7.722698
342,1772512300.282243,369.835510,67.288834,2.638666,LK,7.724515
343,1772512300.402292,369.169739,67.674072,2.640703,LK,7.724885
344,1772512300.502216,368.513824,68.051956,2.642370,LK,7.726397
345,1772512300.622239,367.808411,68.457008,2.643696,LK,7.731112
346,1772512300.722332,367.031372,68.901871,2.644839,LK,7.734316
347,1772512300.762246,366.375244,69.276810,2.645352,LK,7.737894
348,1772512300.862242,365.629272,69.702812,2.645591,LK,7.742186
349,1772512300.962265,365.141235,69.981430,2.645526,LK,7.745597
350,1772512301.042255,364.519226,70.336700,2.645203,LK,7.746794
351,1772512301.202263,363.947632,70.663589,2.644609,LK,7.748904
352,1772512301.302288,363.220184,71.080360,2.643671,LK,7.751708
353,1772512301.382216,362.601868,71.435455,2.642757,LK,7.753348
354,1772512301.482276,361.865540,71.859352,2.641744,LK,7.751234
355,1772512301.582205,361.174652,72.257874,2.640567,LK,7.744502
356,1772512301.662244,360.444580,72.680222,2.639445,LK,7.742263
357,1772512301.822233,359.702209,73.110779,2.638078,LK,7.736706
358,1772512301.902223,359.216675,73.393089,2.637246,LK,7.729268
359,1772512302.002231,358.581543,73.763153,2.636251,LK,7.721220
360,1772512302.082221,357.860413,74.184296,2.635021,LK,7.711478
361,1772512302.162206,357.245148,74.544594,2.633634,LK,7.706834
362,1772512302.322217,356.531555,74.963951,2.632098,LK,7.702805
363,1772512302.402199,355.906555,75.332321,2.630621,LK,7.695988
364,1772512302.502249,355.195190,75.753227,2.631937,LK,7.689013
365,1772512302.582191,354.575562,76.117752,2.635343,LK,7.689887
366,1772512302.682219,353.887177,76.519424,2.633844,LK,7.688056
367,1772512302.762239,353.169189,76.940071,2.631750,LK,7.687295
368,1772512302.882188,352.432373,77.374969,2.629173,LK,7.690104
369,1772512303.002257,351.951660,77.660439,2.627499,LK,7.691190
370,1772512303.102252,351.227325,78.092743,2.625310,LK,7.690076
371,1772512303.202272,350.616882,78.458351,2.623548,LK,7.685404
372,1772512303.282238,349.915833,78.879684,2.621376,LK,7.677705
373,1772512303.362221,349.354309,79.218918,2.619894,LK,7.671190
374,1772512303.442212,348.651123,79.644150,2.618345,LK,7.636537
375,1772512303.582208,348.057556,80.003677,2.617146,LK,7.615975
376,1772512303.702221,347.351746,80.434044,2.615952,LK,7.608882
377,1772512303.782195,346.673492,80.849030,2.614596,LK,7.589581
378,1772512303.862217,345.957123,81.286880,2.613216,LK,7.553955
379,1772512303.962235,345.492065,81.572212,2.612474,LK,7.555182
380,1772512304.102195,344.781952,82.009720,2.611542,LK,7.567781
381,1772512304.182224,344.170776,82.387054,2.610927,LK,7.581512
382,1772512304.282227,343.556488,82.766533,2.610444,LK,7.593843
383,1772512304.382240,342.831116,83.214874,2.609997,LK,7.604746
384,1772512304.462206,342.209106,83.599564,2.609692,LK,7.614994
385,1772512304.562190,341.586060,83.985092,2.609484,LK,7.623933
386,1772512304.662231,340.906708,84.405693,2.609330,LK,7.632432
387,1772512304.742254,340.301636,84.780449,2.609242,LK,7.640045
388,1772512304.902265,339.603546,85.212852,2.609229,LK,7.646793
389,1772512304.982353,338.929352,85.630432,2.609398,LK,7.654094
390,1772512305.082335,338.213623,86.073486,2.609617,LK,7.659970
391,1772512305.162230,337.508148,86.509987,2.609739,LK,7.664660
392,1772512305.242181,337.063202,86.785210,2.609889,LK,7.671120
393,1772512305.402251,336.340668,87.230743,2.610189,LK,7.683644
394,1772512305.502233,335.742981,87.596481,2.612085,LK,7.706753
395,1772512305.582262,335.023743,88.034714,2.615070,LK,7.725436
396,1772512305.662205,334.416260,88.405701,2.615277,LK,7.736308
397,1772512305.762236,333.709473,88.838081,2.614542,LK,7.747384
398,1772512305.902231,333.107910,89.204758,2.613751,LK,7.770607
399,1772512305.982221,332.396240,89.640625,2.613167,LK,7.784567
400,1772512306.082227,331.774963,90.024597,2.612924,LK,7.788511
401,1772512306.182274,331.050140,90.473267,2.612662,LK,7.783566
402,1772512306.262247,330.361084,90.897987,2.612454,LK,7.778665
403,1772512306.362331,329.634399,91.345016,2.612342,LK,7.778882
404,1772512306.522403,328.923309,91.782104,2.613986,LK,7.774462
405,1772512306.602259,328.437347,92.079811,2.614189,LK,7.772921
406,1772512306.682230,327.719849,92.519333,2.613979,LK,7.776003
407,1772512306.782233,327.120605,92.887123,2.613791,LK,7.779359
408,1772512306.862237,326.398621,93.330322,2.613632,LK,7.779103
409,1772512306.962263,325.800293,93.697784,2.613805,LK,7.780598
410,1772512307.082221,325.069336,94.146477,2.613885,LK,7.780787
411,1772512307.202234,324.467926,94.515335,2.613844,LK,7.777309
412,1772512307.302238,323.717834,94.975533,2.613747,LK,7.774095
413,1772512307.382265,323.066223,95.375473,2.613688,LK,7.771474
414,1772512307.482248,322.445526,95.756454,2.613674,LK,7.768693
